=== steadystate: WORKLOAD=reconcile DURATION=10m0s INTERVAL=15s SCAVENGE_AFTER_STARTUP=true SCAVENGE_EVERY=0s QPS=2
=== GOGC="" GOMEMLIMIT="300MiB" GOMAXPROCS=4 NumCPU=4 go=go1.26.7
2026/08/28 21:02:42 Creating Terraform AWS Provider (SDKv2-style)...
2026/08/28 21:02:42 Initializing Terraform AWS Provider (SDKv2-style)...
2026/08/28 21:02:42 Creating Terraform AWS Provider (Framework-style)...
2026/08/28 21:02:42 Initializing Terraform AWS Provider (Framework-style)...
=== startup path complete in 31.33s: 1029 cluster resources, 1029 namespaced, 8488 scheme GVKs

startup+GC (t+31.36s)
   MemStats: HeapAlloc=51.6 HeapSys=303.6 HeapIdle=211.3 HeapInuse=92.3 HeapReleased=33.8 Sys=318.8 TotalAlloc=15569.2 NumGC=291
   RSS=948.3 MiB  PeakRSS(VmHWM)=958.1 MiB
   smaps: Rss: 970184 kB | Pss: 635114 kB | Private_Clean: 12240 kB | Private_Dirty: 289116 kB | Anonymous: 289116 kB
=== debug.FreeOSMemory() took 46ms

post-FreeOSMemory (t+31.413s)
   MemStats: HeapAlloc=51.5 HeapSys=303.6 HeapIdle=211.5 HeapInuse=92.1 HeapReleased=211.2 Sys=318.8 TotalAlloc=15569.2 NumGC=292
   RSS=770.8 MiB  PeakRSS(VmHWM)=958.1 MiB
   smaps: Rss: 789348 kB | Pss: 454278 kB | Private_Clean: 12240 kB | Private_Dirty: 108280 kB | Anonymous: 108280 kB
=== workload: InstanceDiff probe ok (empty diff=false)
=== workload: 2 full probes, 5 schema-rebuild probes, diff step enabled=true
=== observation window: 10m0s, sampling every 15s, workload=reconcile
t        label                   Anon       Rss PrivDirty | HeapAlloc   HeapSys  HeapIdle HeapInuse   HeapRel       Sys  TotalAlloc  NumGC | reconciles
0s       -                      106.9     772.7     106.9 |      53.7     303.6     210.1      93.5     210.0     318.8     15571.4    292 |          0
15s      -                      131.5     799.8     131.5 |      63.6     303.6     205.9      97.7     185.4     318.8     15616.8    293 |         31
30s      -                      142.3     810.7     142.3 |      60.0     303.6     207.8      95.8     174.6     318.8     15660.8    294 |         61
45s      -                      142.4     811.0     142.4 |      57.5     303.6     208.4      95.2     174.6     318.8     15704.8    295 |         91
1m0s     -                      142.7     811.3     142.7 |      54.4     303.6     208.6      95.0     174.3     318.8     15748.9    296 |        121
1m15s    -                      142.8     811.4     142.8 |      98.5     303.6     177.6     126.0     174.3     318.8     15792.9    296 |        151
1m30s    -                      142.8     811.4     142.8 |      95.3     303.6     180.6     123.0     174.3     318.8     15836.9    297 |        181
1m45s    -                      142.8     811.5     142.8 |      92.6     303.6     183.0     120.6     174.3     318.8     15880.9    298 |        211
2m0s     -                      142.8     811.5     142.8 |      89.1     303.6     186.0     117.6     174.3     318.8     15925.0    299 |        241
2m15s    -                      142.8     811.5     142.8 |      88.9     303.6     186.3     117.3     174.3     318.8     15969.0    300 |        271
2m30s    -                      142.8     811.6     142.8 |      86.9     303.6     187.9     115.7     174.3     318.8     16013.0    301 |        301
2m45s    -                      142.9     811.7     142.9 |      82.7     303.6     191.4     112.2     174.3     318.8     16057.1    302 |        331
3m0s     -                      142.9     811.7     142.9 |      81.0     303.6     192.9     110.7     174.3     318.8     16101.1    303 |        361
3m15s    -                      142.9     811.7     142.9 |      76.9     303.6     196.4     107.2     174.3     318.8     16145.1    304 |        391
3m30s    -                      142.9     811.7     142.9 |      75.0     303.6     197.9     105.7     174.3     318.8     16189.1    305 |        421
3m45s    -                      142.9     811.8     142.9 |      71.1     303.6     201.1     102.4     174.3     318.8     16233.2    306 |        451
4m0s     -                      142.9     811.8     142.9 |      69.0     303.6     202.8     100.8     174.3     318.8     16277.2    307 |        481
4m15s    -                      142.9     811.9     142.9 |      65.4     303.6     205.3      98.3     174.3     318.8     16321.2    308 |        511
4m30s    -                      142.9     811.9     142.9 |      62.9     303.6     206.5      97.1     174.3     319.1     16365.3    309 |        541
4m45s    -                      142.9     811.9     142.9 |      62.5     303.6     206.7      96.9     174.3     319.1     16409.3    310 |        571
5m0s     -                      142.9     811.9     142.9 |      59.8     303.6     208.0      95.5     174.3     319.1     16453.3    311 |        601
5m15s    -                      142.9     811.9     142.9 |      56.9     303.6     208.8      94.8     174.3     319.1     16497.3    312 |        631
5m30s    -                      142.9     811.9     142.9 |     100.9     303.6     175.5     128.1     174.3     319.1     16541.3    312 |        661
5m45s    -                      143.6     812.5     143.6 |      95.6     303.6     180.2     123.4     173.7     319.1     16585.4    313 |        691
6m0s     -                      143.6     812.6     143.6 |      91.4     303.6     184.1     119.5     173.7     319.1     16629.4    314 |        721
6m15s    -                      143.6     812.6     143.6 |      87.6     303.6     187.4     116.2     173.7     319.1     16673.4    315 |        751
6m30s    -                      143.6     812.6     143.6 |      85.2     303.6     189.4     114.2     173.7     319.1     16717.4    316 |        781
6m45s    -                      143.6     812.6     143.6 |      82.1     303.6     192.1     111.5     173.7     319.1     16761.5    317 |        811
7m0s     -                      143.6     812.6     143.6 |      78.9     303.6     194.8     108.8     173.7     319.1     16805.5    318 |        841
7m15s    -                      143.6     812.6     143.6 |      73.5     303.6     199.2     104.4     173.7     319.1     16849.5    319 |        871
7m30s    -                      143.8     812.8     143.8 |      68.5     303.6     203.3     100.3     173.5     319.1     16893.5    320 |        901
7m45s    -                      143.8     812.8     143.8 |      63.4     303.6     206.3      97.3     173.5     319.1     16937.6    321 |        931
8m0s     -                      143.8     812.8     143.8 |      60.5     303.6     207.7      95.9     173.5     319.1     16981.6    322 |        961
8m15s    -                      143.8     812.8     143.8 |      57.5     303.6     209.0      94.6     173.5     319.1     17025.6    323 |        991
8m30s    -                      143.8     812.8     143.8 |      54.6     303.6     209.4      94.2     173.5     319.1     17069.6    324 |       1021
8m45s    -                      143.8     812.8     143.8 |      98.7     303.6     177.5     126.0     173.5     319.1     17113.7    324 |       1051
9m0s     -                      143.8     812.8     143.8 |      95.1     303.6     180.8     122.8     173.5     319.1     17157.7    325 |       1081
9m15s    -                      143.8     812.8     143.8 |      90.7     303.6     184.6     119.0     173.5     319.1     17201.8    326 |       1111
9m30s    -                      143.9     812.8     143.9 |      88.1     303.6     187.0     116.6     173.5     319.1     17245.8    327 |       1141
9m45s    -                      143.9     812.8     143.9 |      85.8     303.6     188.7     114.9     173.5     319.1     17289.8    328 |       1171
10m0s    -                      143.9     812.8     143.9 |      82.3     303.6     191.8     111.7     173.5     319.1     17333.8    329 |       1201
=== window done: 1201 workload iterations in 10m0s
=== final debug.FreeOSMemory() took 28ms
10m0s    final-scavenge         106.6     775.6     106.6 |      51.7     303.6     211.2      92.4     210.8     319.1     17333.8    330 |       1201
