=== steadystate: WORKLOAD=idle DURATION=15m0s INTERVAL=15s SCAVENGE_AFTER_STARTUP=false SCAVENGE_EVERY=0s QPS=0
=== GOGC="" GOMEMLIMIT="" GOMAXPROCS=4 NumCPU=4 go=go1.26.7
2026/08/28 20:14:54 Creating Terraform AWS Provider (SDKv2-style)...
2026/08/28 20:14:54 Initializing Terraform AWS Provider (SDKv2-style)...
2026/08/28 20:14:54 Creating Terraform AWS Provider (Framework-style)...
2026/08/28 20:14:54 Initializing Terraform AWS Provider (Framework-style)...
=== startup path complete in 24.562s: 1029 cluster resources, 1029 namespaced, 8488 scheme GVKs

startup+GC (t+24.594s)
   MemStats: HeapAlloc=51.6 HeapSys=379.5 HeapIdle=282.4 HeapInuse=97.2 HeapReleased=24.1 Sys=396.4 TotalAlloc=15598.4 NumGC=174
   RSS=1045.8 MiB  PeakRSS(VmHWM)=1048.7 MiB
   smaps: Rss: 1069964 kB | Pss: 1068476 kB | Private_Clean: 689764 kB | Private_Dirty: 378572 kB | Anonymous: 378572 kB
=== observation window: 15m0s, sampling every 15s, workload=idle
t        label                   Anon       Rss PrivDirty | HeapAlloc   HeapSys  HeapIdle HeapInuse   HeapRel       Sys  TotalAlloc  NumGC | reconciles
0s       -                      369.7    1044.9     369.7 |      51.6     379.5     282.4      97.2      25.1     396.4     15598.5    174 |          0
15s      -                      277.3     952.5     277.3 |      51.6     379.5     282.4      97.2     117.5     396.4     15598.5    174 |          0
30s      -                      277.3     952.5     277.3 |      51.6     379.5     282.4      97.2     117.5     396.4     15598.5    174 |          0
45s      -                      277.3     952.5     277.3 |      51.6     379.5     282.4      97.2     117.5     396.4     15598.5    174 |          0
1m0s     -                      277.3     952.5     277.3 |      51.6     379.5     282.4      97.2     117.5     396.4     15598.5    174 |          0
1m15s    -                      277.3     952.5     277.3 |      51.7     379.5     282.4      97.2     117.5     396.4     15598.5    174 |          0
1m30s    -                      277.3     952.5     277.3 |      51.7     379.5     282.4      97.2     117.5     396.4     15598.5    174 |          0
1m45s    -                      277.3     952.5     277.3 |      51.7     379.5     282.4      97.2     117.5     396.4     15598.5    174 |          0
2m0s     -                      277.3     952.5     277.3 |      51.7     379.5     282.3      97.2     117.5     396.4     15598.5    174 |          0
2m15s    -                      275.8     951.0     275.8 |      51.5     379.5     282.5      97.0     119.0     396.4     15598.5    175 |          0
2m30s    -                      122.0     797.2     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.5    175 |          0
2m45s    -                      122.0     797.2     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.5    175 |          0
3m0s     -                      122.0     797.2     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.5    175 |          0
3m15s    -                      122.0     797.2     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.5    175 |          0
3m30s    -                      122.0     797.2     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.5    175 |          0
3m45s    -                      122.0     797.2     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.5    175 |          0
4m0s     -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.6    175 |          0
4m15s    -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.6    175 |          0
4m30s    -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.6    176 |          0
4m45s    -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.6    176 |          0
5m0s     -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.6    176 |          0
5m15s    -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.6    176 |          0
5m30s    -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.6    176 |          0
5m45s    -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.6    176 |          0
6m0s     -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.6    176 |          0
6m15s    -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.6    176 |          0
6m30s    -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.6    176 |          0
6m45s    -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.6    177 |          0
7m0s     -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.6    177 |          0
7m15s    -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.6    177 |          0
7m30s    -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.6    177 |          0
7m45s    -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.6    177 |          0
8m0s     -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.6    177 |          0
8m15s    -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.7    177 |          0
8m30s    -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.7    177 |          0
8m45s    -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.7    177 |          0
9m0s     -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.7    178 |          0
9m15s    -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.7    178 |          0
9m30s    -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.7    178 |          0
9m45s    -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.7    178 |          0
10m0s    -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.7    178 |          0
10m15s   -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.7    178 |          0
10m30s   -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.7    178 |          0
10m45s   -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.7    178 |          0
11m0s    -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.7    178 |          0
11m15s   -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.7    179 |          0
11m30s   -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.7    179 |          0
11m45s   -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.7    179 |          0
12m0s    -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.7    179 |          0
12m15s   -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.7    179 |          0
12m30s   -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.8    179 |          0
12m45s   -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.8    179 |          0
13m0s    -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.8    179 |          0
13m15s   -                      122.0     797.3     122.0 |      51.6     379.5     282.5      97.0     272.8     396.4     15598.8    179 |          0
13m30s   -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.8    180 |          0
13m45s   -                      122.0     797.3     122.0 |      51.5     379.5     282.5      97.0     272.8     396.4     15598.8    180 |          0
