=== steadystate: WORKLOAD=idle DURATION=15m0s INTERVAL=15s SCAVENGE_AFTER_STARTUP=false SCAVENGE_EVERY=0s QPS=0
=== GOGC="" GOMEMLIMIT="300MiB" GOMAXPROCS=4 NumCPU=4 go=go1.26.7
2026/08/28 20:30:19 Creating Terraform AWS Provider (SDKv2-style)...
2026/08/28 20:30:19 Initializing Terraform AWS Provider (SDKv2-style)...
2026/08/28 20:30:19 Creating Terraform AWS Provider (Framework-style)...
2026/08/28 20:30:19 Initializing Terraform AWS Provider (Framework-style)...
=== startup path complete in 27.738s: 1029 cluster resources, 1029 namespaced, 8488 scheme GVKs

startup+GC (t+27.768s)
   MemStats: HeapAlloc=51.6 HeapSys=295.6 HeapIdle=206.0 HeapInuse=89.6 HeapReleased=24.7 Sys=310.5 TotalAlloc=15557.0 NumGC=292
   RSS=962.2 MiB  PeakRSS(VmHWM)=965.3 MiB
   smaps: Rss: 985336 kB | Pss: 983875 kB | Private_Clean: 692772 kB | Private_Dirty: 290936 kB | Anonymous: 290936 kB
=== observation window: 15m0s, sampling every 15s, workload=idle
t        label                   Anon       Rss PrivDirty | HeapAlloc   HeapSys  HeapIdle HeapInuse   HeapRel       Sys  TotalAlloc  NumGC | reconciles
0s       -                      282.6     960.7     282.6 |      51.6     295.6     205.9      89.7      26.2     310.5     15557.0    292 |          0
15s      -                      123.1     801.2     123.1 |      51.6     295.6     205.9      89.7     185.8     310.5     15557.0    292 |          0
30s      -                      123.1     801.2     123.1 |      51.6     295.6     205.9      89.7     185.8     310.5     15557.0    292 |          0
45s      -                      123.1     801.2     123.1 |      51.6     295.6     205.9      89.7     185.8     310.5     15557.0    292 |          0
1m0s     -                      123.1     801.2     123.1 |      51.6     295.6     205.9      89.7     185.8     310.5     15557.0    292 |          0
1m15s    -                      123.1     801.2     123.1 |      51.6     295.6     205.9      89.7     185.8     310.5     15557.0    292 |          0
1m30s    -                      123.1     801.2     123.1 |      51.6     295.6     205.9      89.7     185.8     310.5     15557.0    292 |          0
1m45s    -                      123.1     801.2     123.1 |      51.6     295.6     205.9      89.7     185.8     310.5     15557.0    292 |          0
2m0s     -                      123.1     801.2     123.1 |      51.7     295.6     205.9      89.7     185.8     310.5     15557.0    292 |          0
2m15s    -                      121.7     799.8     121.7 |      51.5     295.6     206.1      89.5     187.1     310.5     15557.0    293 |          0
2m30s    -                      111.8     789.9     111.8 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.1    293 |          0
2m45s    -                      111.8     789.9     111.8 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.1    293 |          0
3m0s     -                      111.8     789.9     111.8 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.1    293 |          0
3m15s    -                      111.8     789.9     111.8 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.1    293 |          0
3m30s    -                      111.8     789.9     111.8 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.1    293 |          0
3m45s    -                      111.8     789.9     111.8 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.1    293 |          0
4m0s     -                      111.8     789.9     111.8 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.1    293 |          0
4m15s    -                      111.8     789.9     111.8 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.1    293 |          0
4m30s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.1    294 |          0
4m45s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.1    294 |          0
5m0s     -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.1    294 |          0
5m15s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.1    294 |          0
5m30s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.1    294 |          0
5m45s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.1    294 |          0
6m0s     -                      111.7     789.8     111.7 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.1    294 |          0
6m15s    -                      111.7     789.8     111.7 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.1    294 |          0
6m30s    -                      111.7     789.8     111.7 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.2    294 |          0
6m45s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.2    295 |          0
7m0s     -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.2    295 |          0
7m15s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.2    295 |          0
7m30s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.2    295 |          0
7m45s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.2    295 |          0
8m0s     -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.2    295 |          0
8m15s    -                      111.7     789.8     111.7 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.2    295 |          0
8m30s    -                      111.7     789.8     111.7 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.2    295 |          0
8m45s    -                      111.7     789.8     111.7 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.2    295 |          0
9m0s     -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.2    296 |          0
9m15s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.2    296 |          0
9m30s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.2    296 |          0
9m45s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.2    296 |          0
10m0s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.2    296 |          0
10m15s   -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.2    296 |          0
10m30s   -                      111.7     789.8     111.7 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.2    296 |          0
10m45s   -                      111.7     789.8     111.7 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.3    296 |          0
11m0s    -                      111.7     789.8     111.7 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.3    296 |          0
11m15s   -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.3    297 |          0
11m30s   -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.3    297 |          0
11m45s   -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.3    297 |          0
12m0s    -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.3    297 |          0
12m15s   -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.3    297 |          0
12m30s   -                      111.7     789.8     111.7 |      51.5     295.6     206.1      89.5     197.1     310.5     15557.3    297 |          0
12m45s   -                      111.7     789.8     111.7 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.3    297 |          0
13m0s    -                      111.7     789.8     111.7 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.3    297 |          0
13m15s   -                      111.7     789.8     111.7 |      51.6     295.6     206.1      89.5     197.1     310.5     15557.3    297 |          0
